FELH650
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 200.09;   -7.297;    2.274;    3.810;-622.96784
 200.69;    4.584;    0.920;   25.480;14.92132
 201.30;    5.949;    2.380;   16.345;25.55427
 201.90;    1.389;   -2.748;   24.876;14.97746
 202.50;  -10.446;    1.610;   22.238;-58.44416
 203.10;    0.510;   -1.749;   15.267;13.27597
 203.71;    2.048;    0.350;   18.809; 9.19638
 204.31;    2.959;   -5.883;   18.469;36.31273
 204.91;    0.677;   -2.485;   24.497;11.71940
 205.51;   -1.225;   -5.684;   22.084;16.05939
 206.12;    2.603;   -3.652;   19.579;26.92621
 206.72;   -2.314;    1.514;   19.514;-21.26322
 207.32;    3.021;   -0.685;   16.264;21.86295
 207.92;    0.510;   -1.285;   20.797; 8.13090
 208.53;    1.520;   -2.218;   30.910;11.28364
 209.13;   -1.512;   -0.183;   28.607;-4.61858
 209.73;   11.248;    1.222;   35.521;29.23069
 210.33;   -0.092;   -1.444;   33.286; 3.89308
 210.94;   -4.568;   -1.120;   15.494;-20.75381
 211.54;    2.838;    1.654;   21.861; 5.85963
 212.14;    5.150;    1.118;   24.231;17.44394
 212.74;   -3.412;    3.748;   19.317;-45.99331
 213.34;    7.671;    0.185;   19.038;39.70991
 213.95;    1.439;   -4.354;   25.699;19.27556
 214.55;    0.220;   -0.115;   24.213; 1.37674
 215.15;   -5.128;    2.715;   23.422;-37.87772
 215.75;   -0.113;    4.146;   17.088;-32.91437
 216.35;    3.311;   -0.112;   25.605;13.30955
 216.96;   -3.191;    0.880;   15.194;-28.44395
 217.56;   -3.074;   -6.086;   22.579;10.50759
 218.16;    9.655;   -4.814;   21.516;54.95129
 218.76;    4.947;   -2.214;   32.458;20.65176
 219.36;    2.708;   -2.651;   22.497;21.30874
 219.97;   -4.212;   -0.121;   21.727;-18.72667
 220.57;  -10.696;   -2.160;    0.350;-340.07567
 221.17;    9.226;    0.523;   35.424;24.93642
 221.77;   -1.604;    0.981;   21.928;-12.34042
 222.37;    0.676;   -1.346;   29.250; 6.60824
