
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 200.09;   12.051;    2.274;   11.825;102.35916
 200.69;   19.827;    0.920;   31.491;61.84694
 201.30;   18.569;    2.380;   18.007;103.59537
 201.90;   23.042;   -2.748;   22.688;101.39008
 202.50;   20.321;    1.610;    1.677; 0.00000
 203.10;   18.467;   -1.749;   19.416;95.51361
 203.71;   16.532;    0.350;   17.594;93.84341
 204.31;   17.077;   -5.883;   17.688;97.40655
 204.91;   13.137;   -2.485;   14.922;89.74620
 205.51;   25.036;   -5.684;   21.139;114.53069
 206.12;   21.224;   -3.652;   21.338;99.54427
 206.72;   24.334;    1.514;   20.210;122.06020
 207.32;   21.131;   -0.685;   21.587;97.95217
 207.92;   21.837;   -1.285;   15.755;135.69021
 208.53;   18.614;   -2.218;   16.466;111.49548
 209.13;   22.361;   -0.183;   21.257;105.15251
 209.73;   16.359;    1.222;   27.958;56.61698
 210.33;   22.910;   -1.444;   25.085;91.80126
 210.94;   24.195;   -1.120;   14.325;163.90847
 211.54;   21.332;    1.654;   24.834;84.89105
 212.14;   22.563;    1.118;   25.580;87.66788
 212.74;   20.148;    3.748;   18.575;110.61143
 213.34;   21.185;    0.185;   18.985;111.70061
 213.95;   17.958;   -4.354;   23.629;79.73457
 214.55;   17.811;   -0.115;   25.561;69.81579
 215.15;   17.239;    2.715;   16.245;107.34556
 215.75;   17.368;    4.146;   14.518;127.47761
 216.35;   23.311;   -0.112;   31.476;74.15051
 216.96;   25.256;    0.880;   17.323;148.24354
 217.56;   21.230;   -6.086;   14.506;132.65351
 218.16;   18.392;   -4.814;   17.659;103.25760
 218.76;   23.578;   -2.214;   27.434;86.99497
 219.36;   19.686;   -2.651;   17.785;109.30503
 219.97;   19.968;   -0.121;   14.993;132.91927
 220.57;   19.651;   -2.160;   10.134;177.41865
 221.17;   16.567;    0.523;   32.655;49.93106
 221.77;   24.745;    0.981;   21.621;115.13472
 222.37;   23.213;   -1.346;   28.624;81.94748
 222.97;   10.712;    0.947;   16.262;63.75666
 223.58;   21.319;    3.514;   18.778;116.64295
