FES0800
Integration time [ms]:   2.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 200.09;   11.024;    9.235;    7.767; 0.00000
 200.69;   -0.512;   -3.148;   22.945;10.10299
 201.30;   -5.088;   12.377;   14.167;-975.66701
 201.90;    1.663;   -6.401;   -3.595;287.35916
 202.50;   -0.393;   17.912;   -6.500; 0.00000
 203.10;    6.126;    2.362;    1.547; 0.00000
 203.71;   -8.991;   -0.470;    0.120; 0.00000
 204.31;   -1.502;   -1.464;    9.603;-0.34673
 204.91;   -7.154;   10.349;   -7.280; 0.00000
 205.51;    3.878;    4.331;   11.271;-6.52419
 206.12;   -4.061;    4.111;    7.710;-227.10668
 206.72;    5.112;    2.286;   -6.235; 0.00000
 207.32;    4.659;    8.717;    2.741; 0.00000
 207.92;   13.846;  -11.551;    5.020;153.26538
 208.53;    8.067;    8.937;    6.054; 0.00000
 209.13;   16.323;   -2.011;    5.543;242.71631
 209.73;   -9.947;    9.615;    5.748; 0.00000
 210.33;    3.594;   -0.792;   -7.486; 0.00000
 210.94;    2.493;   11.871;   10.435; 0.00000
 211.54;   -2.577;    1.007;    7.201;-57.85222
 212.14;   -2.760;   12.121;    3.470; 0.00000
 212.74;    2.951;   -6.804;    2.728;102.33945
 213.34;   -3.249;    4.514;    9.987;-141.86268
 213.95;    5.391;   -9.611;    8.032;85.02819
 214.55;   -7.753;    8.550;   16.081;-216.46005
 215.15;    7.163;   -5.419;   10.047;81.35265
 215.75;   -2.805;   11.845;    0.840; 0.00000
 216.35;   -2.854;    0.186;    3.237;-99.62683
 216.96;    4.206;   11.639;    5.257; 0.00000
 217.56;    1.926;   -0.456;    1.488;122.52019
 218.16;  -12.013;   12.661;    0.044; 0.00000
 218.76;    5.297;   -5.737;   16.160;50.39030
 219.36;    3.386;   16.051;    0.584; 0.00000
 219.97;   -4.321;   -3.296;    8.314;-8.82760
 220.57;   -2.593;    8.794;    4.041; 0.00000
 221.17;  -12.794;  -15.107;   10.033; 9.20052
 221.77;   -3.867;   11.173;    5.900; 0.00000
 222.37;    7.214;    2.695;    0.887; 0.00000
