
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 200.09;    4.352;    1.574;   12.222;26.08668
 200.69;    2.125;   -9.329;   23.789;34.58716
 201.30;   -1.811;    0.472;   19.364;-12.08724
 201.90;   -0.975;   -2.996;   25.053; 7.20461
 202.50;    1.253;   -1.060;   13.689;15.68498
 203.10;   -2.742;   -6.662;   21.296;14.01976
 203.71;   -1.276;    0.605;   13.783;-14.27130
 204.31;   -2.343;   -4.062;   27.163; 5.50500
 204.91;    2.756;   -1.428;   22.425;17.54123
 205.51;    1.923;   -3.328;   20.286;22.23903
 206.12;   -0.977;   -0.095;   18.899;-4.64765
 206.72;    1.189;    1.539;   17.865;-2.14514
 207.32;   -3.010;   -5.728;   26.309; 8.48335
 207.92;   -2.411;    0.339;   18.425;-15.20077
 208.53;    1.290;    3.472;   21.999;-11.77690
 209.13;    1.758;   -7.362;   18.800;34.85872
 209.73;    1.393;    1.670;   25.446;-1.16352
 210.33;   -2.606;   -5.864;   34.130; 8.14600
 210.94;    1.755;    5.206;   16.755;-29.88003
 211.54;    2.459;   -7.363;   31.514;25.26534
 212.14;    3.958;    2.671;   19.679; 7.56574
 212.74;   -6.677;    4.039;   24.385;-52.66628
 213.34;    1.958;   -6.029;   25.867;25.04147
 213.95;    3.655;   -4.461;   23.290;29.24539
 214.55;    2.391;   -0.796;   23.504;13.11538
 215.15;    0.223;   -5.728;   26.505;18.46336
 215.75;    2.755;    0.772;   17.351;11.95883
 216.35;    5.827;    0.637;   24.788;21.48913
 216.96;    5.722;   -6.028;   12.772;62.49960
 217.56;   -2.378;    1.572;   18.748;-22.99585
 218.16;   -0.075;   -4.729;   21.524;17.73049
 218.76;   -5.041;   -4.296;   28.845;-2.24765
 219.36;   -1.676;    0.272;   15.743;-12.59114
 219.97;    3.655;   -2.194;   23.104;23.11981
 220.57;    0.485;   -1.026;    7.408;17.91112
 221.17;    4.061;   -3.531;   31.916;21.41689
 221.77;    2.056;  -10.695;   20.206;41.26201
 222.37;   -0.074;   -2.930;   26.858; 9.58636
